link,titulo,precio,tipo_venta,num_banos,superficie,ubicacion,metros_cuadrados,precio_metro_cuadrado,fecha_hora_de_carga
https://www.portalinmobiliario.com/MLC-1451345261-vass-gestion-inmobiliaria-vende-depto-2d-1b-plan-de-renaca-_JM#position=19&search_layout=grid&type=item&tracking_id=4405f485-e871-45be-a9b2-b2f68436da4b,Vass Gestión Inmobiliaria Vende Depto 2d 1b Plan De Reñaca,3813.0,Departamento en venta,1 baño,56 m² útiles,"Avenida José Manuel Balmaceda 365,...",56,68.08928571428571,2024-02-03 12:26:32.470495
https://www.portalinmobiliario.com/MLC-2119396890-departamento-en-venta-de-2-dorm-en-vina-del-mar-_JM#position=20&search_layout=grid&type=item&tracking_id=4405f485-e871-45be-a9b2-b2f68436da4b,Departamento En Venta De 2 Dorm. En Viña Del Mar,3744.0,Departamento en venta,1 baño,50 m² útiles,Condominio Jardín Reñaca - Viña De...,50,74.88,2024-02-03 12:26:32.470495
https://www.portalinmobiliario.com/MLC-2190631582-gran-oportunidad-vendo-departamento-excelente-ubicacion-_JM#position=21&search_layout=grid&type=item&tracking_id=4405f485-e871-45be-a9b2-b2f68436da4b,Gran Oportunidad!! Vendo Departamento Excelente Ubicación,3676.0,Departamento en venta,1 baño,50 m² útiles,Avenida Francisco Soza Cousiño 1 -...,50,73.52,2024-02-03 12:26:32.470495
https://www.portalinmobiliario.com/MLC-2243391754-central-park-renaca-con-arrendatario-ideal-inversionista-_JM#position=22&search_layout=grid&type=item&tracking_id=4405f485-e871-45be-a9b2-b2f68436da4b,Central Park Reñaca /con Arrendatario Ideal Inversionista,3300.0,Departamento en venta,1 baño,45 m² útiles,"Edmundo Eluchans 2145, Reñaca, Viñ...",45,73.33333333333333,2024-02-03 12:26:32.470495
https://www.portalinmobiliario.com/MLC-1412571721-dpto-totalmente-amoblado-renaca-cerca-de-la-playa-_JM#position=24&search_layout=grid&type=item&tracking_id=4405f485-e871-45be-a9b2-b2f68436da4b,"Dpto Totalmente Amoblado, Reñaca Cerca De La Playa",3676.0,Departamento en venta,1 baño,46 m² útiles,"Vicuña Mackenna 777, Viña Del Mar,...",46,79.91304347826087,2024-02-03 12:26:32.470495
https://www.portalinmobiliario.com/MLC-1935957806-imperdible-cercano-a-todo-semi-nuevo-_JM#position=25&search_layout=grid&type=item&tracking_id=4405f485-e871-45be-a9b2-b2f68436da4b,"Imperdible !!! Cercano A Todo, (semi-nuevo)",3600.0,Departamento en venta,1 baño,37 m² útiles,"Los Mirlos 1 - 300, Viña Del Mar, ...",37,97.29729729729728,2024-02-03 12:26:32.470495
https://www.portalinmobiliario.com/MLC-2168611626-se-vende-dpto-ubicado-en-las-perlas-renaca-vina-del-mar-_JM#position=26&search_layout=grid&type=item&tracking_id=4405f485-e871-45be-a9b2-b2f68436da4b,Se Vende Dpto Ubicado En Las Perlas Reñaca Viña Del Mar,2451.0,Departamento en venta,1 baño,35 m² útiles,"Las Perlas, Viña Del Mar, Chile, R...",35,70.02857142857142,2024-02-03 12:26:32.470495
https://www.portalinmobiliario.com/MLC-1455047167-excelente-inversion-con-vista-al-mar-_JM#position=27&search_layout=grid&type=item&tracking_id=4405f485-e871-45be-a9b2-b2f68436da4b,Excelente Inversión Con Vista Al Mar,3920.0,Departamento en venta,1 baño,40 m² útiles,"Av Edmundo Eluchans 2525, Viña Del...",40,98.0,2024-02-03 12:26:32.470495
https://www.portalinmobiliario.com/MLC-2068919458-litorina-vina-del-_JM#position=28&search_layout=grid&type=item&tracking_id=4405f485-e871-45be-a9b2-b2f68436da4b,"Litorina, Viña Del",3595.0,Departamento en venta,1 baño,55 m² útiles,"Reñaca, Viña Del Mar",55,65.36363636363636,2024-02-03 12:26:32.470495
https://www.portalinmobiliario.com/MLC-2068990812-edmundo-eluchans-plaza-avenida-edmundo-eluchans-vina-_JM#position=29&search_layout=grid&type=item&tracking_id=4405f485-e871-45be-a9b2-b2f68436da4b,"Edmundo Eluchans Plaza - Avenida Edmundo Eluchans, Viña",2900.0,Departamento en venta,1 baño,40 m² útiles,"Reñaca, Viña Del Mar",40,72.5,2024-02-03 12:26:32.470495
